Problem,,,Constructive algorithm,,,LocalSearch,,GRASP-50,,GRASP-100,,GRASP-200,,GRASP-300,,Known best solution or upper bound,Best Values
name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Average value,No. of iterations,GRASP-50 Val,Iterations,GRASP-100 Val,Iterations,GRASP-200 Val,Iterations,GRASP-300 Val,Iterations,Best,Given Best
g1,800,19176,9585.39,10967,11073,11402.2,5,11457,50,11432,100,11434,200,11450,300,11457,12078
g2,800,19176,9576.48,11036,11075,11377.2,5,11438,50,11478,100,11468,200,11437,300,11478,12084
g3,800,19176,9599.33,11018,11076,11385,5,11447,50,11445,100,11460,200,11456,300,11460,12077
g4,800,19176,9573.51,11050,11101,11387.4,5,11459,50,11523,100,11495,200,11498,300,11523,n/a
g5,800,19176,9582.72,11056,11092,11376.6,5,11437,50,11481,100,11457,200,11473,300,11481,n/a
g6,800,19176,78.42,1488,1550,1942.4,5,1991,50,1995,100,1995,200,2000,300,2000,n/a
g7,800,19176,-81.86,1422,1352,1733.2,5,1803,50,1838,100,1838,200,1840,300,1840,n/a
g8,800,19176,-91.06,1320,1433,1722,5,1824,50,1878,100,1851,200,1845,300,1878,n/a
g9,800,19176,-33.83,1428,1384,1810.2,5,1883,50,1875,100,1887,200,1899,300,1899,n/a
g10,800,19176,-67.93,1275,1434,1752,5,1799,50,1831,100,1842,200,1851,300,1851,n/a
g11,800,1600,19.66,432,424,482.4,5,484,50,500,100,494,200,490,300,500,627
g12,800,1600,-1.56,418,428,459.2,5,468,50,480,100,478,200,486,300,486,621
g13,800,1600,15.66,418,448,482.4,5,488,50,498,100,498,200,502,300,502,645
g14,800,4694,2345.15,2901,2932,2971.8,5,2986,50,2988,100,2991,200,2994,300,2994,3187
g15,800,4661,2325.92,2876,2917,2947.6,5,2969,50,2970,100,2974,200,2975,300,2975,3169
g16,800,4672,2333.39,2896,2917,2945,5,2968,50,2976,100,2977,200,2977,300,2977,3172
