Problem,,,Constructive algorithm,,,LocalSearch,,GRASP-50,,GRASP-100,,GRASP-200,,GRASP-300,,Known best solution or upper bound
name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Average value,No. of iterations,GRASP-50 Val,Iterations,GRASP-100 Val,Iterations,GRASP-200 Val,Iterations,GRASP-300 Val,Iterations,Best
g1,800,19176,9581.14,10967,11211,11384.6,5,11472,50,11472,100,11462,200,11482,300,11482
g2,800,19176,9591.48,11036,11215,11360.6,5,11440,50,11452,100,11507,200,11471,300,11507
g3,800,19176,9583.45,11018,11176,11363.8,5,11468,50,11447,100,11468,200,11481,300,11481
g4,800,19176,9586.13,11050,11181,11384.2,5,11457,50,11463,100,11490,200,11509,300,11509
g5,800,19176,9581.65,11056,11244,11387.8,5,11465,50,11480,100,11486,200,11506,300,11506
g6,800,19176,76.2,1488,1634,1940.4,5,1978,50,1993,100,2026,200,2041,300,2041
g7,800,19176,-80.5,1422,1493,1739,5,1828,50,1853,100,1851,200,1868,300,1868
g8,800,19176,-72.26,1320,1526,1742.2,5,1833,50,1851,100,1864,200,1858,300,1864
g9,800,19176,-27.12,1428,1547,1784.4,5,1885,50,1893,100,1889,200,1907,300,1907
g10,800,19176,-81.97,1275,1541,1738.2,5,1837,50,1820,100,1878,200,1843,300,1878
g11,800,1600,18.62,432,464,482.8,5,504,50,500,100,508,200,508,300,508
g12,800,1600,0.64,418,464,483.2,5,494,50,498,100,496,200,502,300,502
g13,800,1600,17.1,418,476,497.2,5,516,50,518,100,526,200,524,300,526
g14,800,4694,2346.59,2901,2929,2978,5,2990,50,2989,100,2994,200,2993,300,2994
g15,800,4661,2327.27,2876,2914,2941.4,5,2971,50,2973,100,2984,200,2979,300,2984
g16,800,4672,2338.67,2896,2932,2952.8,5,2982,50,2982,100,2979,200,2980,300,2982
g17,800,4667,2332.54,2887,2901,2950,5,2971,50,2975,100,2976,200,2973,300,2976
g18,800,4694,32.16,807,791,850.4,5,892,50,904,100,909,200,914,300,914
g19,800,4661,-64.03,743,653,793,5,807,50,822,100,839,200,828,300,839
g20,800,4672,-16.33,728,721,804,5,852,50,866,100,856,200,858,300,866
g21,800,4667,-36.39,701,658,813.4,5,841,50,837,100,837,200,847,300,847
g22,2000,19990,9994.93,12402,12725,12881,5,12991,50,13011,100,12998,200,13040,300,13040
g23,2000,19990,9986.99,12300,12700,12849.2,5,12993,50,13009,100,13012,200,13004,300,13012
g24,2000,19990,10001.4,12361,12713,12938.2,5,12982,50,12999,100,13026,200,13030,300,13030
g25,2000,19990,9990.06,12393,12668,12899.8,5,12983,50,13023,100,13017,200,13023,300,13023
g26,2000,19990,9987.68,12327,12719,12918.2,5,12998,50,13004,100,12999,200,13027,300,13027
g27,2000,19990,-24.58,2322,2558,2843,5,2943,50,2956,100,2964,200,2968,300,2968
g28,2000,19990,-48.84,2294,2520,2837.2,5,2915,50,2955,100,2901,200,2911,300,2955
g29,2000,19990,50.35,2369,2667,2913,5,3019,50,3010,100,3046,200,3019,300,3046
g30,2000,19990,51.16,2412,2586,2947.4,5,2997,50,3019,100,3013,200,3058,300,3058
g31,2000,19990,-41.94,2334,2368,2849,5,2890,50,2925,100,2956,200,2959,300,2959
g32,2000,4000,1.62,1026,1150,1150.4,5,1218,50,1220,100,1226,200,1228,300,1228
g33,2000,4000,-9.46,1008,1106,1178,5,1212,50,1218,100,1222,200,1212,300,1222
g34,2000,4000,-25.96,980,1132,1114.4,5,1212,50,1208,100,1224,200,1212,300,1224
g35,2000,11778,5889.86,7284,7348,7451.4,5,7468,50,7477,100,7485,200,7483,300,7485
g36,2000,11766,5888.05,7222,7356,7440,5,7474,50,7486,100,7481,200,7473,300,7486
g37,2000,11785,5894.43,7254,7396,7439.4,5,7474,50,7473,100,7492,200,7486,300,7492
g38,2000,11779,5889.29,7231,7381,7453.4,5,7506,50,7479,100,7485,200,7494,300,7506
g39,2000,11778,18.17,1938,1810,2025.8,5,2122,50,2141,100,2141,200,2148,300,2148
g40,2000,11766,-55.41,1896,1791,2087.2,5,2156,50,2131,100,2164,200,2148,300,2164
g41,2000,11785,-9.31,1876,1853,2056.8,5,2141,50,2161,100,2158,200,2155,300,2161
g42,2000,11779,65.22,1967,2011,2173.4,5,2230,50,2226,100,2221,200,2235,300,2235
g43,1000,9990,4994.84,6172,6324,6423.6,5,6502,50,6530,100,6513,200,6512,300,6530
g44,1000,9990,4996.07,6168,6296,6460.8,5,6527,50,6494,100,6511,200,6502,300,6527
g45,1000,9990,5010.29,6200,6301,6431.2,5,6513,50,6488,100,6506,200,6499,300,6513
g46,1000,9990,4994.85,6186,6309,6474.8,5,6511,50,6504,100,6506,200,6507,300,6511
g47,1000,9990,4993.44,6231,6274,6446.2,5,6523,50,6524,100,6503,200,6531,300,6531
g48,3000,6000,3000.74,6000,6000,6000,5,6000,50,6000,100,6000,200,6000,300,6000
g49,3000,6000,3000.52,6000,6000,6000,5,6000,50,6000,100,6000,200,6000,300,6000
g50,3000,6000,2996.22,5878,5862,5821.2,5,5870,50,5870,100,5872,200,5872,300,5878
g51,1000,5909,2956.75,3623,3707,3721.2,5,3760,50,3760,100,3757,200,3760,300,3760
g52,1000,5916,2958.58,3632,3695,3742,5,3764,50,3762,100,3762,200,3771,300,3771
g53,1000,5914,2960.45,3651,3696,3728.2,5,3748,50,3760,100,3761,200,3764,300,3764
g54,1000,5916,2951.8,3633,3684,3732.2,5,3758,50,3757,100,3756,200,3762,300,3762
