Experiment_Type,Parameter,Config1,Config2,P1_Wins,P2_Wins,Draws,P1_Win_Rate,P2_Win_Rate,Avg_Moves,Avg_Duration,Avg_Nodes_P1,Avg_Nodes_P2,Avg_Search_Time_P1,Avg_Search_Time_P2,Total_Time
tournament,balanced_vs_aggressive,balanced,aggressive,10,10,0,0.500,0.500,90.1,3.8,151,171,0.040,0.045,75.3
tournament,balanced_vs_defensive,balanced,defensive,4,16,0,0.200,0.800,94.1,6.5,231,300,0.062,0.077,129.8
tournament,balanced_vs_tactical,balanced,tactical,10,9,1,0.500,0.450,82.8,3.9,189,208,0.049,0.053,78.7
tournament,balanced_vs_strategic,balanced,strategic,11,9,0,0.550,0.450,94.8,5.5,215,229,0.057,0.060,110.7
tournament,balanced_vs_fast,balanced,fast,15,5,0,0.750,0.250,86.0,2.6,129,78,0.036,0.025,52.4
tournament,aggressive_vs_defensive,aggressive,defensive,9,11,0,0.450,0.550,94.0,4.3,171,166,0.048,0.046,86.8
tournament,aggressive_vs_tactical,aggressive,tactical,8,12,0,0.400,0.600,73.6,2.5,125,138,0.034,0.037,50.5
tournament,aggressive_vs_strategic,aggressive,strategic,8,12,0,0.400,0.600,89.1,3.4,148,130,0.039,0.037,67.5
tournament,aggressive_vs_fast,aggressive,fast,14,6,0,0.700,0.300,73.0,2.2,139,77,0.036,0.024,43.9
tournament,defensive_vs_tactical,defensive,tactical,14,6,0,0.700,0.300,78.4,3.3,139,180,0.037,0.047,66.7
tournament,defensive_vs_strategic,defensive,strategic,7,13,0,0.350,0.650,99.8,7.6,262,261,0.076,0.075,151.7
tournament,defensive_vs_fast,defensive,fast,4,16,0,0.200,0.800,85.6,3.0,139,105,0.039,0.030,59.5
tournament,tactical_vs_strategic,tactical,strategic,10,9,1,0.500,0.450,91.0,4.0,165,160,0.046,0.044,79.7
tournament,tactical_vs_fast,tactical,fast,8,12,0,0.400,0.600,80.8,2.1,122,61,0.033,0.021,42.9
tournament,strategic_vs_fast,strategic,fast,7,13,0,0.350,0.650,88.7,3.1,136,98,0.039,0.030,62.0
depth_comparison,balanced_depth_2_vs_3,balanced,balanced,4,6,0,0.400,0.600,95.4,5.6,208,238,0.056,0.063,56.4
depth_comparison,balanced_depth_3_vs_3,balanced,balanced,4,6,0,0.400,0.600,95.4,5.6,208,238,0.055,0.063,56.4
depth_comparison,balanced_depth_4_vs_3,balanced,balanced,5,5,0,0.500,0.500,94.1,6.0,231,268,0.060,0.069,60.1
depth_comparison,tactical_depth_2_vs_3,tactical,tactical,6,4,0,0.600,0.400,70.4,2.8,147,160,0.039,0.042,28.4
depth_comparison,tactical_depth_3_vs_3,tactical,tactical,6,4,0,0.600,0.400,70.4,2.9,147,160,0.040,0.043,28.9
depth_comparison,tactical_depth_4_vs_3,tactical,tactical,6,4,0,0.600,0.400,76.0,3.4,197,158,0.049,0.041,33.7
vs_random,balanced_vs_random,random,balanced,7,18,0,0.280,0.720,99.2,4.3,1,321,0.001,0.086,106.8
vs_random,aggressive_vs_random,random,aggressive,5,20,0,0.200,0.800,98.6,3.3,1,248,0.001,0.066,82.0
vs_random,defensive_vs_random,random,defensive,8,17,0,0.320,0.680,100.2,4.4,1,312,0.001,0.087,108.9
vs_random,tactical_vs_random,random,tactical,7,18,0,0.280,0.720,98.4,3.2,1,229,0.001,0.064,79.5
vs_random,strategic_vs_random,random,strategic,10,15,0,0.400,0.600,99.7,4.6,1,329,0.001,0.091,113.8
vs_random,fast_vs_random,random,fast,11,14,0,0.440,0.560,100.8,2.4,1,162,0.001,0.048,60.6
