[PLAYER] Cell (0,0) | Owner: 2 | Count: 1 | CritMass: 2 | ProxBonus: 0.50 | ScoreAdd: 1.50
[PLAYER] Cell (0,1) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (0,3) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (0,5) | Owner: 2 | Count: 1 | CritMass: 2 | ProxBonus: 0.50 | ScoreAdd: 1.50
[PLAYER] Cell (1,0) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (1,2) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (1,3) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (1,4) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (1,5) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (2,0) | Owner: 2 | Count: 1 | CritMass: 3 | ProxBonus: 0.33 | ScoreAdd: 1.33
[PLAYER] Cell (2,1) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (2,2) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (2,3) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (2,4) | Owner: 2 | Count: 1 | CritMass: 4 | ProxBonus: 0.25 | ScoreAdd: 1.25
[PLAYER] Cell (2,5) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (3,0) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (3,1) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (3,3) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (3,4) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (3,5) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (4,0) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (4,1) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (4,2) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (4,3) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (4,4) | Owner: 2 | Count: 1 | CritMass: 4 | ProxBonus: 0.25 | ScoreAdd: 1.25
[PLAYER] Cell (4,5) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (5,0) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (5,1) | Owner: 2 | Count: 1 | CritMass: 4 | ProxBonus: 0.25 | ScoreAdd: 1.25
[PLAYER] Cell (5,2) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (5,3) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (5,4) | Owner: 2 | Count: 1 | CritMass: 4 | ProxBonus: 0.25 | ScoreAdd: 1.25
[PLAYER] Cell (5,5) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (6,1) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (6,2) | Owner: 2 | Count: 1 | CritMass: 4 | ProxBonus: 0.25 | ScoreAdd: 1.25
[PLAYER] Cell (6,3) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (6,4) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[OPPONENT] Cell (6,5) | Owner: 1 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (7,0) | Owner: 2 | Count: 2 | CritMass: 3 | ProxBonus: 0.67 | ScoreAdd: 3.33
[PLAYER] Cell (7,1) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (7,2) | Owner: 2 | Count: 2 | CritMass: 4 | ProxBonus: 0.50 | ScoreAdd: 3.00
[PLAYER] Cell (7,3) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[PLAYER] Cell (7,4) | Owner: 2 | Count: 3 | CritMass: 4 | ProxBonus: 0.75 | ScoreAdd: 5.25
[OPPONENT] Cell (7,5) | Owner: 1 | Count: 1 | CritMass: 3 | ProxBonus: 0.33 | ScoreAdd: 1.33
[PLAYER] Cell (8,0) | Owner: 2 | Count: 1 | CritMass: 2 | ProxBonus: 0.50 | ScoreAdd: 1.50
[PLAYER] Cell (8,1) | Owner: 2 | Count: 1 | CritMass: 3 | ProxBonus: 0.33 | ScoreAdd: 1.33
[PLAYER] Cell (8,2) | Owner: 2 | Count: 1 | CritMass: 3 | ProxBonus: 0.33 | ScoreAdd: 1.33
[PLAYER] Cell (8,3) | Owner: 2 | Count: 1 | CritMass: 3 | ProxBonus: 0.33 | ScoreAdd: 1.33
[PLAYER] Cell (8,5) | Owner: 2 | Count: 1 | CritMass: 2 | ProxBonus: 0.50 | ScoreAdd: 1.50
Total my_score: 147.58333333333334, opp_score: 4.666666666666666, result: 142.91666666666669
