Experiment_Type,Parameter,Config1,Config2,P1_Wins,P2_Wins,Draws,P1_Win_Rate,P2_Win_Rate,Avg_Moves,Avg_Duration,Avg_Nodes_P1,Avg_Nodes_P2,Avg_Search_Time_P1,Avg_Search_Time_P2,Total_Time
tournament,balanced_vs_aggressive,balanced,aggressive,10,10,0,0.500,0.500,90.1,4.0,151,171,0.043,0.047,79.6
tournament,balanced_vs_defensive,balanced,defensive,4,16,0,0.200,0.800,94.1,7.1,231,300,0.069,0.085,142.6
tournament,balanced_vs_tactical,balanced,tactical,10,9,1,0.500,0.450,82.8,4.3,189,208,0.053,0.059,85.7
tournament,balanced_vs_strategic,balanced,strategic,11,9,0,0.550,0.450,94.8,5.9,215,229,0.061,0.064,118.1
tournament,balanced_vs_fast,balanced,fast,15,5,0,0.750,0.250,86.0,2.8,129,78,0.038,0.027,55.4
tournament,aggressive_vs_defensive,aggressive,defensive,9,11,0,0.450,0.550,94.0,4.4,171,166,0.048,0.046,88.0
tournament,aggressive_vs_tactical,aggressive,tactical,8,12,0,0.400,0.600,73.6,2.6,125,138,0.034,0.038,51.2
tournament,aggressive_vs_strategic,aggressive,strategic,8,12,0,0.400,0.600,89.1,3.5,148,130,0.040,0.037,69.2
tournament,aggressive_vs_fast,aggressive,fast,14,6,0,0.700,0.300,73.0,2.3,139,77,0.038,0.025,45.5
tournament,defensive_vs_tactical,defensive,tactical,14,6,0,0.700,0.300,78.4,3.5,139,180,0.039,0.049,70.3
tournament,defensive_vs_strategic,defensive,strategic,7,13,0,0.350,0.650,99.8,7.7,262,261,0.078,0.077,154.4
tournament,defensive_vs_fast,defensive,fast,4,16,0,0.200,0.800,85.6,3.0,139,105,0.039,0.030,59.5
tournament,tactical_vs_strategic,tactical,strategic,10,9,1,0.500,0.450,91.0,4.0,165,160,0.046,0.045,80.8
tournament,tactical_vs_fast,tactical,fast,8,12,0,0.400,0.600,80.8,2.2,122,61,0.034,0.021,43.2
tournament,strategic_vs_fast,strategic,fast,7,13,0,0.350,0.650,88.7,3.1,136,98,0.040,0.030,62.4
depth_comparison,balanced_depth_2_vs_3,balanced,balanced,4,6,0,0.400,0.600,95.4,5.7,208,238,0.056,0.063,56.6
depth_comparison,balanced_depth_3_vs_3,balanced,balanced,4,6,0,0.400,0.600,95.4,5.7,208,238,0.057,0.064,57.4
depth_comparison,balanced_depth_4_vs_3,balanced,balanced,5,5,0,0.500,0.500,94.1,6.0,231,268,0.060,0.068,59.9
depth_comparison,tactical_depth_2_vs_3,tactical,tactical,6,4,0,0.600,0.400,70.4,2.8,147,160,0.039,0.042,28.0
depth_comparison,tactical_depth_3_vs_3,tactical,tactical,6,4,0,0.600,0.400,70.4,2.8,147,160,0.039,0.042,27.9
depth_comparison,tactical_depth_4_vs_3,tactical,tactical,6,4,0,0.600,0.400,76.0,3.4,197,158,0.049,0.041,34.0
vs_random,balanced_vs_random,random,balanced,3,22,0,0.120,0.880,98.4,4.0,1,279,0.001,0.081,100.6
vs_random,aggressive_vs_random,random,aggressive,4,21,0,0.160,0.840,97.0,3.6,1,243,0.001,0.073,89.6
vs_random,defensive_vs_random,random,defensive,5,20,0,0.200,0.800,96.8,4.9,1,410,0.001,0.107,123.4
vs_random,tactical_vs_random,random,tactical,4,21,0,0.160,0.840,99.0,3.9,1,287,0.001,0.079,98.2
vs_random,strategic_vs_random,random,strategic,9,16,0,0.360,0.640,97.9,4.8,1,332,0.001,0.098,120.1
vs_random,fast_vs_random,random,fast,6,19,0,0.240,0.760,100.2,2.4,1,154,0.001,0.047,59.6
