Experiment_Type,Parameter,Config1,Config2,P1_Wins,P2_Wins,Draws,P1_Win_Rate,P2_Win_Rate,Avg_Moves,Avg_Duration,Avg_Nodes_P1,Avg_Nodes_P2,Avg_Search_Time_P1,Avg_Search_Time_P2,Total_Time
heuristic_vs_random,material_focus_vs_random,random,material_focus,4,16,0,0.200,0.800,97.9,1.9,1,346,0.001,0.038,37.7
heuristic_vs_random,territorial_focus_vs_random,random,territorial_focus,9,11,0,0.450,0.550,101.3,1.6,1,291,0.001,0.031,32.2
heuristic_vs_random,critical_mass_focus_vs_random,random,critical_mass_focus,2,18,0,0.100,0.900,98.2,1.3,1,214,0.001,0.025,25.1
heuristic_vs_random,mobility_focus_vs_random,random,mobility_focus,3,17,0,0.150,0.850,100.0,1.4,1,277,0.001,0.027,27.7
heuristic_vs_random,chain_focus_vs_random,random,chain_focus,4,16,0,0.200,0.800,99.6,1.8,1,306,0.001,0.036,36.8
heuristic_vs_random,positional_focus_vs_random,random,positional_focus,9,11,0,0.450,0.550,99.5,2.3,1,325,0.001,0.046,46.6
heuristic_vs_heuristic,material_focus_vs_territorial_focus,material_focus,territorial_focus,2,13,0,0.133,0.867,80.4,1.4,163,158,0.020,0.017,20.6
heuristic_vs_heuristic,material_focus_vs_critical_mass_focus,material_focus,critical_mass_focus,2,13,0,0.133,0.867,77.3,1.3,133,161,0.017,0.018,18.8
heuristic_vs_heuristic,material_focus_vs_mobility_focus,material_focus,mobility_focus,5,10,0,0.333,0.667,79.1,1.1,158,141,0.019,0.014,16.8
heuristic_vs_heuristic,material_focus_vs_chain_focus,material_focus,chain_focus,13,2,0,0.867,0.133,50.9,0.9,163,310,0.019,0.033,13.5
heuristic_vs_heuristic,material_focus_vs_positional_focus,material_focus,positional_focus,4,11,0,0.267,0.733,80.5,1.5,164,150,0.020,0.021,23.2
heuristic_vs_heuristic,territorial_focus_vs_critical_mass_focus,territorial_focus,critical_mass_focus,10,5,0,0.667,0.333,96.0,1.4,92,132,0.012,0.017,20.9
heuristic_vs_heuristic,territorial_focus_vs_mobility_focus,territorial_focus,mobility_focus,3,12,0,0.200,0.800,98.3,2.3,198,156,0.027,0.020,34.6
heuristic_vs_heuristic,territorial_focus_vs_chain_focus,territorial_focus,chain_focus,14,1,0,0.933,0.067,38.1,0.9,223,318,0.024,0.040,13.5
heuristic_vs_heuristic,territorial_focus_vs_positional_focus,territorial_focus,positional_focus,7,8,0,0.467,0.533,101.3,3.8,192,275,0.025,0.051,57.0
heuristic_vs_heuristic,critical_mass_focus_vs_mobility_focus,critical_mass_focus,mobility_focus,8,7,0,0.533,0.467,88.8,1.3,122,124,0.017,0.015,20.1
heuristic_vs_heuristic,critical_mass_focus_vs_chain_focus,critical_mass_focus,chain_focus,15,0,0,1.000,0.000,17.5,0.6,270,452,0.031,0.054,9.0
heuristic_vs_heuristic,critical_mass_focus_vs_positional_focus,critical_mass_focus,positional_focus,7,8,0,0.467,0.533,96.6,1.5,123,107,0.014,0.016,22.5
heuristic_vs_heuristic,mobility_focus_vs_chain_focus,mobility_focus,chain_focus,7,8,0,0.467,0.533,82.1,1.1,108,252,0.011,0.028,16.5
heuristic_vs_heuristic,mobility_focus_vs_positional_focus,mobility_focus,positional_focus,6,9,0,0.400,0.600,99.7,2.8,166,252,0.017,0.039,41.6
heuristic_vs_heuristic,chain_focus_vs_positional_focus,chain_focus,positional_focus,1,14,0,0.067,0.933,70.6,1.3,163,150,0.020,0.020,19.9
heuristic_vs_hybrid,material_focus_vs_tactical_plus,material_focus,tactical_plus,10,2,0,0.833,0.167,76.3,1.4,146,158,0.017,0.024,16.7
heuristic_vs_hybrid,material_focus_vs_strategic_plus,material_focus,strategic_plus,8,4,0,0.667,0.333,90.0,1.8,137,155,0.017,0.024,21.7
heuristic_vs_hybrid,material_focus_vs_balanced,material_focus,balanced,1,11,0,0.083,0.917,56.2,2.0,183,206,0.020,0.050,23.8
heuristic_vs_hybrid,territorial_focus_vs_tactical_plus,territorial_focus,tactical_plus,11,1,0,0.917,0.083,88.1,1.5,103,159,0.011,0.024,18.6
heuristic_vs_hybrid,territorial_focus_vs_strategic_plus,territorial_focus,strategic_plus,5,7,0,0.417,0.583,102.8,3.1,210,218,0.022,0.038,36.9
heuristic_vs_hybrid,territorial_focus_vs_balanced,territorial_focus,balanced,3,9,0,0.250,0.750,92.9,3.4,159,207,0.017,0.057,41.2
heuristic_vs_hybrid,critical_mass_focus_vs_tactical_plus,critical_mass_focus,tactical_plus,9,3,0,0.750,0.250,69.6,1.3,177,184,0.018,0.026,15.7
heuristic_vs_hybrid,critical_mass_focus_vs_strategic_plus,critical_mass_focus,strategic_plus,6,6,0,0.500,0.500,98.5,1.7,131,123,0.015,0.020,20.9
heuristic_vs_hybrid,critical_mass_focus_vs_balanced,critical_mass_focus,balanced,8,4,0,0.667,0.333,89.2,2.6,161,156,0.018,0.043,31.4
heuristic_vs_hybrid,mobility_focus_vs_tactical_plus,mobility_focus,tactical_plus,6,6,0,0.500,0.500,88.3,1.4,111,127,0.011,0.021,16.8
heuristic_vs_hybrid,mobility_focus_vs_strategic_plus,mobility_focus,strategic_plus,6,6,0,0.500,0.500,102.2,3.4,163,297,0.016,0.051,41.1
heuristic_vs_hybrid,mobility_focus_vs_balanced,mobility_focus,balanced,7,5,0,0.583,0.417,94.6,3.2,128,189,0.013,0.054,37.8
heuristic_vs_hybrid,chain_focus_vs_tactical_plus,chain_focus,tactical_plus,6,6,0,0.500,0.500,74.7,1.5,162,164,0.020,0.024,18.1
heuristic_vs_hybrid,chain_focus_vs_strategic_plus,chain_focus,strategic_plus,3,9,0,0.250,0.750,79.4,1.6,159,147,0.019,0.023,18.9
heuristic_vs_hybrid,chain_focus_vs_balanced,chain_focus,balanced,0,12,0,0.000,1.000,50.2,1.9,225,232,0.025,0.056,23.2
heuristic_vs_hybrid,positional_focus_vs_tactical_plus,positional_focus,tactical_plus,10,2,0,0.833,0.167,84.0,1.6,110,159,0.016,0.023,18.8
heuristic_vs_hybrid,positional_focus_vs_strategic_plus,positional_focus,strategic_plus,7,5,0,0.583,0.417,100.2,4.6,284,304,0.042,0.049,54.7
heuristic_vs_hybrid,positional_focus_vs_balanced,positional_focus,balanced,6,6,0,0.500,0.500,88.8,4.7,273,259,0.038,0.069,56.1
heuristic_depth_test,critical_mass_focus_depth_2,random,critical_mass_focus,0,8,0,0.000,1.000,99.0,1.2,1,209,0.001,0.024,9.7
heuristic_depth_test,critical_mass_focus_depth_3,random,critical_mass_focus,2,6,0,0.250,0.750,100.0,1.2,1,210,0.001,0.024,9.8
heuristic_depth_test,critical_mass_focus_depth_4,random,critical_mass_focus,3,5,0,0.375,0.625,99.4,1.4,1,245,0.001,0.027,10.8
heuristic_depth_test,mobility_focus_depth_2,random,mobility_focus,2,6,0,0.250,0.750,95.8,1.4,1,317,0.001,0.029,11.5
heuristic_depth_test,mobility_focus_depth_3,random,mobility_focus,1,7,0,0.125,0.875,99.9,1.5,1,315,0.001,0.030,12.1
heuristic_depth_test,mobility_focus_depth_4,random,mobility_focus,3,5,0,0.375,0.625,101.4,1.7,1,350,0.001,0.034,13.9
heuristic_depth_test,material_focus_depth_2,random,material_focus,1,7,0,0.125,0.875,99.6,2.0,1,349,0.001,0.040,16.1
heuristic_depth_test,material_focus_depth_3,random,material_focus,3,5,0,0.375,0.625,99.4,2.0,1,361,0.001,0.041,16.3
heuristic_depth_test,material_focus_depth_4,random,material_focus,3,5,0,0.375,0.625,98.9,3.1,1,579,0.001,0.061,24.4
